b,u_inf,m_inf,L_A,profit_total
4.45,0.9999997769065111,0.9999997769065111,0.9999997769065111,-294.7310184813931
4.5,0.9999997852961817,0.9999997852961817,0.9999997852961817,-299.6610579138462
4.55,0.9999998045053543,0.9999998045053543,0.9999998045053543,-304.5910936926567
4.6000000000000005,0.9999997620561214,0.9999997620561214,0.9999997620561214,-309.5211229575244
4.65,0.9999997513058045,0.9999997513058045,0.9999997513058045,-314.45114821368134
4.7,0.9999997904179597,0.9999997904179597,0.9999997904179597,-319.38116793992833
4.75,0.9999998348786759,0.9999998348786759,0.9999998348786759,-324.3111833695297
4.800000000000001,0.9999998529897429,0.9999998529897429,0.9999998529897429,-329.24119557946
4.8500000000000005,0.9999998600938366,0.9999998600938366,0.9999998600938366,-334.1712038545679
4.9,0.9999998693529463,0.9999998693529463,0.9999998693529463,-339.10120852049016
4.95,0.9999998052057523,0.9999998052057523,0.9999998052057523,-344.03121026858753
5.0,0.999999883090991,0.999999883090991,0.999999883090991,-348.9612088828673
