scenario,alpha,beta,budget,rho,bBU,bBM,u_A_inf,m_A_inf,u_B_inf,m_B_inf,L_B,C,state
对称网络效应,0.8,0.8,0.8,0.51,0.40800000000000003,0.392,0.07667133642893481,0.0786187468345012,0.9233286635710651,0.9213812531654988,0.922354958368282,0.8447099167365639,平台B锁定
对称网络效应,0.8,0.8,0.8,0.52,0.41600000000000004,0.384,0.07572104623563686,0.07961631131079001,0.9242789537643632,0.9203836886892099,0.9223313212267865,0.8446626424535731,平台B锁定
对称网络效应,0.8,0.8,0.8,0.53,0.42400000000000004,0.376,0.07478607499258147,0.0806300832951979,0.9252139250074185,0.9193699167048021,0.9222919208561103,0.8445838417122207,平台B锁定
对称网络效应,0.8,0.8,0.8,0.54,0.43200000000000005,0.368,0.07386620813477021,0.08166029258350754,0.9261337918652298,0.9183397074164925,0.9222367496408611,0.8444734992817222,平台B锁定
对称网络效应,0.8,0.8,0.8,0.55,0.44000000000000006,0.36,0.07296123382142972,0.08270717178111284,0.9270387661785703,0.9172928282188871,0.9221657971987287,0.8443315943974574,平台B锁定
对称网络效应,0.8,0.8,0.8,0.56,0.44800000000000006,0.352,0.07207094337680163,0.08377095678763713,0.9279290566231984,0.9162290432123629,0.9220790499177807,0.8441580998355612,平台B锁定
对称网络效应,0.8,0.8,0.8,0.5700000000000001,0.45600000000000007,0.344,0.07119513146784155,0.0848518870190715,0.9288048685321585,0.9151481129809285,0.9219764907565435,0.843952981513087,平台B锁定
对称网络效应,0.8,0.8,0.8,0.58,0.46399999999999997,0.3360000000000001,0.07033359449693843,0.08595020375965139,0.9296664055030616,0.9140497962403487,0.921858100871705,0.8437162017434101,平台B锁定
对称网络效应,0.8,0.8,0.8,0.59,0.472,0.32800000000000007,0.06948613295689424,0.08706615264885315,0.9305138670431058,0.9129338473511468,0.9217238571971264,0.8434477143942527,平台B锁定
对称网络效应,0.8,0.8,0.8,0.6,0.48,0.32000000000000006,0.06865254990984355,0.08819998212780632,0.9313474500901564,0.9118000178721937,0.921573733981175,0.8431474679623501,平台B锁定
对称网络效应,0.8,0.8,0.8,0.61,0.488,0.31200000000000006,0.0678326509116781,0.08935194337497623,0.9321673490883219,0.9106480566250238,0.9214077028566728,0.8428154057133457,平台B锁定
对称网络效应,0.8,0.8,0.8,0.62,0.496,0.30400000000000005,0.06702624438370987,0.09052229072542199,0.9329737556162901,0.909477709274578,0.921225732445434,0.8424514648908681,平台B锁定
对称网络效应,0.8,0.8,0.8,0.63,0.504,0.296,0.06623314194048706,0.0917112820524249,0.933766858059513,0.9082887179475752,0.921027788003544,0.842055576007088,平台B锁定
对称网络效应,0.8,0.8,0.8,0.64,0.512,0.288,0.06545315782687612,0.09291917819021067,0.9345468421731239,0.9070808218097893,0.9208138319914566,0.8416276639829132,平台B锁定
对称网络效应,0.8,0.8,0.8,0.65,0.52,0.27999999999999997,0.06468610904392211,0.0941462430891508,0.9353138909560779,0.9058537569108492,0.9205838239334636,0.841167647866927,平台B锁定
对称网络效应,0.8,0.8,0.8,0.66,0.528,0.27199999999999996,0.06393181479118965,0.09539274322196499,0.9360681852088104,0.904607256778035,0.9203377209934227,0.8406754419868454,平台B锁定
对称网络效应,0.8,0.8,0.8,0.67,0.536,0.26399999999999996,0.06319009774019917,0.09665894900273542,0.9368099022598009,0.9033410509972646,0.9200754766285327,0.8401509532570655,平台B锁定
对称网络效应,0.8,0.8,0.8,0.68,0.544,0.25599999999999995,0.062460782950850544,0.09794513361618397,0.9375392170491494,0.902054866383816,0.9197970417164827,0.8395940834329655,平台B锁定
对称网络效应,0.8,0.8,0.8,0.6900000000000001,0.552,0.24799999999999997,0.061743698163211236,0.09925157335228926,0.9382563018367888,0.9007484266477107,0.9195023642422497,0.8390047284844995,平台B锁定
对称网络效应,0.8,0.8,0.8,0.7000000000000001,0.56,0.23999999999999996,0.061038673790244004,0.10057854761141481,0.938961326209756,0.8994214523885852,0.9191913892991705,0.8383827785983411,平台B锁定
对称网络效应,0.8,0.8,0.8,0.71,0.568,0.23200000000000004,0.06034554258944038,0.10192633854175302,0.9396544574105596,0.898073661458247,0.9188640594344033,0.8377281188688066,平台B锁定
对称网络效应,0.8,0.8,0.8,0.72,0.576,0.22400000000000003,0.059664139996762525,0.10329523142429578,0.9403358600032374,0.8967047685757042,0.9185203142894709,0.8370406285789418,平台B锁定
对称网络效应,0.8,0.8,0.8,0.73,0.584,0.21600000000000003,0.05899430423343761,0.10468551480203854,0.9410056957665623,0.8953144851979614,0.9181600904822619,0.8363201809645239,平台B锁定
对称网络效应,0.8,0.8,0.8,0.74,0.592,0.20800000000000002,0.05833587590383077,0.10609748002426188,0.9416641240961692,0.8939025199757381,0.9177833220359537,0.8355666440719074,平台B锁定
对称网络效应,0.8,0.8,0.8,0.75,0.6000000000000001,0.2,0.05768869812115521,0.1075314213873878,0.9423113018788448,0.8924685786126122,0.9173899402457285,0.834779880491457,平台B锁定
对称网络效应,0.8,0.8,0.8,0.76,0.6080000000000001,0.192,0.05705261648690895,0.1089876361064839,0.942947383513091,0.8910123638935161,0.9169798737033036,0.8339597474066072,平台B锁定
对称网络效应,0.8,0.8,0.8,0.77,0.6160000000000001,0.184,0.0564274790706781,0.11046642428330226,0.9435725209293219,0.8895335757166978,0.9165530483230098,0.8331060966460196,平台B锁定
对称网络效应,0.8,0.8,0.8,0.78,0.6240000000000001,0.176,0.05581313609689269,0.11196808852413494,0.9441868639031074,0.888031911475865,0.9161093876894861,0.8322187753789724,平台B锁定
对称网络效应,0.8,0.8,0.8,0.79,0.6320000000000001,0.16799999999999998,0.055209440410509354,0.1134929344723339,0.9447905595894907,0.8865070655276661,0.9156488125585783,0.8312976251171568,平台B锁定
对称网络效应,0.8,0.8,0.8,0.8,0.6400000000000001,0.15999999999999998,0.05461624729723502,0.11504127057744681,0.945383752702765,0.8849587294225532,0.9151712410626591,0.8303424821253181,平台B锁定
对称网络效应,0.8,0.8,0.8,0.81,0.6480000000000001,0.15199999999999997,0.05403341428796195,0.11661340783823632,0.9459665857120381,0.8833865921617636,0.9146765889369008,0.8293531778738017,平台B锁定
对称网络效应,0.8,0.8,0.8,0.8200000000000001,0.6560000000000001,0.14399999999999996,0.05346080122589905,0.11820965985151784,0.946539198774101,0.8817903401484821,0.9141647694612915,0.8283295389225831,平台B锁定
对称网络效应,0.8,0.8,0.8,0.8300000000000001,0.6640000000000001,0.13599999999999995,0.05289827024084459,0.11983034274638855,0.9471017297591554,0.8801696572536114,0.9136356935063834,0.8272713870127668,平台B锁定
对称网络效应,0.8,0.8,0.8,0.84,0.672,0.12800000000000003,0.0523456857235339,0.12147577511310649,0.9476543142764661,0.8785242248868935,0.9130892695816798,0.8261785391633596,平台B锁定
对称网络效应,0.8,0.8,0.8,0.85,0.68,0.12000000000000002,0.05180291429990595,0.12314627792614681,0.9481970857000941,0.8768537220738531,0.9125254038869737,0.8250508077739472,平台B锁定
对称网络效应,0.8,0.8,0.8,0.86,0.6880000000000001,0.11200000000000002,0.051269824757024865,0.12484217440173466,0.9487301752429751,0.8751578255982654,0.9119440004206203,0.8238880008412405,平台B锁定
对称网络效应,0.8,0.8,0.8,0.87,0.6960000000000001,0.10400000000000001,0.05074628784225322,0.12656378969300705,0.9492537121577468,0.8734362103069929,0.9113449612323699,0.8226899224647397,平台B锁定
对称网络效应,0.8,0.8,0.8,0.88,0.7040000000000001,0.096,0.050232176843215924,0.12831145154107396,0.9497678231567841,0.8716885484589261,0.9107281858078551,0.8214563716157102,平台B锁定
对称网络效应,0.8,0.8,0.8,0.89,0.7120000000000001,0.088,0.049727366984517615,0.1300854894618279,0.9502726330154824,0.869914510538172,0.9100935717768273,0.8201871435536545,平台B锁定
对称网络效应,0.8,0.8,0.8,0.9,0.7200000000000001,0.07999999999999999,0.04923173557636866,0.13188623485111656,0.9507682644236314,0.8681137651488835,0.9094410147862574,0.8188820295725148,平台B锁定
对称网络效应,0.8,0.8,0.8,0.91,0.7280000000000001,0.07199999999999998,0.048745161986409546,0.13371402086522063,0.9512548380135905,0.8662859791347793,0.9087704085741849,0.8175408171483698,平台B锁定
对称网络效应,0.8,0.8,0.8,0.92,0.7360000000000001,0.06399999999999997,0.04826752761144675,0.1355691822935846,0.9517324723885533,0.8644308177064154,0.9080816450474843,0.8161632900949687,平台B锁定
对称网络效应,0.8,0.8,0.8,0.93,0.7440000000000001,0.055999999999999966,0.047798715849041405,0.13745205542340633,0.9522012841509586,0.8625479445765937,0.9073746143637761,0.8147492287275523,平台B锁定
对称网络效应,0.8,0.8,0.8,0.9400000000000001,0.7520000000000001,0.04799999999999996,0.04733861206889701,0.13936297789569707,0.952661387931103,0.8606370221043029,0.906649205017703,0.8132984100354059,平台B锁定
对称网络效应,0.8,0.8,0.8,0.9500000000000001,0.7600000000000001,0.03999999999999995,0.04688710358399895,0.14130228855242402,0.953112896416001,0.858697711447576,0.9059053039317885,0.8118106078635771,平台B锁定
对称网络效应,0.8,0.8,0.8,0.96,0.768,0.03200000000000003,0.04644407962146392,0.14327032727435077,0.9535559203785361,0.8567296727256493,0.9051427965520926,0.8102855931041854,平台B锁定
对称网络效应,0.8,0.8,0.8,0.97,0.776,0.02400000000000002,0.046009431202145235,0.14526743469246498,0.9539905687978547,0.854732565307535,0.9043615670526949,0.8087231341053898,平台B锁定
对称网络效应,0.8,0.8,0.8,0.98,0.784,0.016000000000000014,0.04558305119735185,0.14729395211796129,0.9544169488026482,0.8527060478820387,0.9035614983423434,0.8071229966846869,平台B锁定
对称网络效应,0.8,0.8,0.8,0.99,0.792,0.008000000000000007,0.04516483447191648,0.14935022157262676,0.9548351655280836,0.8506497784273732,0.9027424719777284,0.8054849439554568,平台B锁定
对称网络效应,0.8,0.8,0.8,1.0,0.8,0.0,0.04475467757980383,0.15143658523411935,0.9552453224201962,0.8485634147658807,0.9019043685930384,0.8038087371860768,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.0,0.0,0.8,0.11033952387760985,0.05311569811654272,0.8896604761223902,0.9468843018834573,0.9182723890029237,0.8365447780058475,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.01,0.008,0.792,0.10893361965064574,0.053779318313204934,0.8910663803493543,0.9462206816867951,0.9186435310180747,0.8372870620361493,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.02,0.016,0.784,0.10754947079029782,0.05445393020827654,0.8924505292097021,0.9455460697917235,0.9189982995007129,0.8379965990014256,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.03,0.024,0.776,0.10618679641126366,0.05513969843865331,0.8938132035887363,0.9448603015613467,0.9193367525750415,0.8386735051500831,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.04,0.032,0.768,0.10484531834824354,0.055836790079705344,0.8951546816517565,0.9441632099202947,0.9196589457860256,0.8393178915720512,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.05,0.04000000000000001,0.76,0.10352476113450601,0.05654537463889988,0.896475238865494,0.9434546253611001,0.919964932113297,0.8399298642265941,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.06,0.048,0.752,0.10222485250300248,0.057265624363673974,0.8977751474969975,0.942734375636326,0.9202547615666617,0.8405095231333235,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.07,0.05600000000000001,0.744,0.10094532279921985,0.05799771390455236,0.8990546772007801,0.9420022860954477,0.9205284816481138,0.8410569632962277,平台B锁定
