,b0=0.00,b0=0.12,b0=0.25,b0=0.38,b0=0.50,b0=0.62,b0=0.75,b0=0.88,b0=1.00,b0=1.12,b0=1.25,b0=1.38,b0=1.50,b0=1.62,b0=1.75,b0=1.88,b0=2.00,b0=2.12,b0=2.25,b0=2.38,b0=2.50,b0=2.62,b0=2.75,b0=2.88,b0=3.00,b0=3.12,b0=3.25,b0=3.38,b0=3.50,b0=3.62,b0=3.75,b0=3.88,b0=4.00,b0=4.12,b0=4.25,b0=4.38,b0=4.50,b0=4.62,b0=4.75,b0=4.88,b0=5.00
Ts=10.00,0.0016951248220892152,0.001695125192705163,0.001695124889427103,0.0016951249878573579,0.0016951248052461236,0.0016951248425249648,0.001695124869214448,0.9983048860166857,0.9983049080570408,0.9983049225928093,0.9983049456725969,0.998304936289097,0.9983049244267237,0.9983049190309216,0.9983049159079367,0.9983049143169086,0.9983049252865597,0.9983049106600391,0.998304917607982,0.9983048898074268,0.9983049117141514,0.9983049262825135,0.9983048867177537,0.9983048876520454,0.9983048869248198,0.9983048866164786,0.9983049205326414,0.9983048847965762,0.9983048868796647,0.9983048845646901,0.9983048865543089,0.9983049104283289,0.9983048859917076,0.9983048845681908,0.9983048867256237,0.9983048867399208,0.9983048867537467,0.9983048867662657,0.9983048867771308,0.9983048867863237,0.9983048867939283
Ts=11.00,0.0016951248220892152,0.0016951248477058598,0.0016951250068311852,0.0016951248380340745,0.001695124821178295,0.001695124991372234,0.0016951250950976108,0.9983048932972847,0.9983048899226842,0.9983048950314937,0.9983049099325961,0.9983049141977415,0.9983048965054735,0.998304931851529,0.9983048999677596,0.9983049108761936,0.9983049267715323,0.9983049069802377,0.998304901112603,0.9983049159762785,0.9983049048510247,0.9983049060639377,0.998304906795858,0.998304918738422,0.998304905245499,0.9983049473878751,0.9983049042893396,0.9983049057827463,0.9983048850116745,0.99830494536866,0.9983049487009498,0.998304948927254,0.9983049488550196,0.9983049046661268,0.9983049058034754,0.9983049009528037,0.9983049029541713,0.9983049005752249,0.9983049029220349,0.9983048849575584,0.998304921585959
Ts=12.00,0.0016951248220892152,0.0016951248033095722,0.0016951248919166485,0.0016951250478142545,0.0016951252328079008,0.001695125007989831,0.0016951250875133163,0.9983048933780364,0.998304884756283,0.9983048850738055,0.9983048862664314,0.9983048890429984,0.9983048903073252,0.998304889055116,0.998304893985391,0.9983048900482362,0.9983048913617163,0.9983048889038312,0.9983048914083487,0.9983048896758986,0.9983048935119252,0.9983048901526039,0.9983048903723083,0.9983048907947143,0.9983048934428692,0.9983048935843867,0.9983048909627311,0.9983048926197784,0.9983048898149046,0.9983048916878676,0.998304892689919,0.9983049021362552,0.9983048944954784,0.9983048944955204,0.9983048973302994,0.9983048925017166,0.9983048948148125,0.9983048919971322,0.9983048903239237,0.9983048902336463,0.9983048901578165
Ts=13.00,0.0016951248220892152,0.0016951248436681535,0.0016951248699044613,0.001695124883705343,0.0016951247740081847,0.0016951248143479876,0.001695124805244612,0.9983049300937713,0.998304955987767,0.998304900946103,0.9983049027550879,0.9983049044179211,0.9983049029138368,0.9983048848409448,0.9983049084354292,0.9983048860422897,0.9983048875218627,0.9983049093941786,0.9983048874016123,0.9983048869623249,0.9983048882207027,0.9983049094045674,0.9983049091030978,0.9983049076428941,0.9983048883027652,0.9983048876069269,0.9983048880629457,0.9983048881998741,0.9983048810197149,0.9983048816138229,0.9983049081321133,0.9983048881967517,0.9983048811005845,0.9983048880878844,0.9983048869806893,0.9983048811072824,0.9983048882899563,0.9983048881624089,0.9983048881686709,0.9983048846855022,0.9983049100996765
Ts=14.00,0.0016951248220892152,0.0016951249634417076,0.0016951251233254837,0.0016951250584842491,0.001695125019575602,0.0016951250408078558,0.0016951248754107464,0.9983048833107674,0.9983048982281143,0.9983049293644315,0.9983049147644603,0.9983049329142554,0.9983049581732041,0.9983049606106926,0.9983049437891985,0.9983049080472456,0.9983049443903856,0.9983049612306343,0.9983048883326195,0.9983049060405269,0.9983049045545346,0.99830495978839,0.9983049048662503,0.9983049636480922,0.9983049076583544,0.9983049088326572,0.9983049652045348,0.9983049082903054,0.9983049089684665,0.9983048889033119,0.9983048942737508,0.9983049088792104,0.9983048894770266,0.9983049666221715,0.9983048895000006,0.9983048895019068,0.9983049000072969,0.998304967256927,0.9983049643548279,0.9983049657945651,0.9983049630996829
Ts=15.00,0.0016951248220892152,0.0016951248242872926,0.0016951251632179524,0.0016951249956600454,0.0016951248313931016,0.0016951252960514173,0.0016951251707374054,0.998304882015872,0.9983048821143204,0.9983048832376884,0.998304883301871,0.9983048849712791,0.9983048933253448,0.9983048974190898,0.9983048976917926,0.9983048883680589,0.9983048917830174,0.9983049059286806,0.9983048910577228,0.9983049053212406,0.9983048981361414,0.9983049027136891,0.9983049084042608,0.9983048933633845,0.9983048951520517,0.9983049023274126,0.9983048842840972,0.9983049081964691,0.9983049073402614,0.9983049047882854,0.9983048940705814,0.9983049076693066,0.9983049287753976,0.9983049035291086,0.9983049039403734,0.9983049018976431,0.9983048943276782,0.9983049076494054,0.9983048968959459,0.9983049030444535,0.9983049018836383
Ts=16.00,0.0016951248220892152,0.0016951248609778982,0.0016951248873351495,0.0016951249656152639,0.001695124965646204,0.0016951248658480952,0.0016951253827202346,0.9983048962167995,0.9983048937809513,0.9983048882408002,0.9983048887490971,0.9983048886110374,0.9983048884673613,0.9983048891786434,0.9983048886974161,0.9983048887699644,0.9983048887790517,0.9983048896675841,0.9983048891821663,0.9983048892483806,0.9983048850944062,0.9983048895748472,0.9983048851033458,0.9983048892700503,0.9983048890132081,0.9983048895457114,0.9983048851464513,0.9983048891020837,0.9983048896189757,0.998304885079545,0.9983048850707715,0.998304889168964,0.9983048895194067,0.9983048893083037,0.998304889546066,0.9983048893002475,0.998304889290906,0.9983048892746316,0.9983048895886618,0.9983048851870231,0.998304889588675
Ts=17.00,0.0016951248220892152,0.0016951249107073083,0.0016951251342283717,0.0016951249676887483,0.0016951249408767232,0.0016951249030045226,0.00169512479221137,0.9983049066874538,0.9983049113483057,0.9983049093096876,0.9983049089476947,0.998304909055848,0.9983049085711049,0.9983049097258205,0.9983049088303764,0.9983049091600406,0.9983049088650462,0.9983048943573144,0.9983049094428286,0.9983048934623656,0.9983049102136243,0.9983048941338468,0.9983049098344077,0.9983049096029174,0.9983049097647102,0.9983048950999442,0.9983048947264209,0.9983049098060601,0.9983049097705547,0.9983049102951004,0.9983049100492886,0.9983048912114868,0.9983048933314619,0.9983049098010109,0.9983049100624122,0.9983049099251088,0.9983049101801611,0.9983049098336564,0.9983049099922217,0.9983049097047956,0.9983049100639658
Ts=18.00,0.0016951248220892152,0.0016951252413405253,0.0016951253230310412,0.0016951248059177344,0.001695124792904666,0.0016951249474538136,0.0016951249792454494,0.9983048803513456,0.9983048820013822,0.9983048935672019,0.9983048906707174,0.9983049040308825,0.9983049104538354,0.9983049156841242,0.9983049266231796,0.9983049315842647,0.9983049113437485,0.9983049293457312,0.9983049385902275,0.9983049490541853,0.9983049454259464,0.9983049146001987,0.9983049100475262,0.9983049132077509,0.9983049383646692,0.9983049279511157,0.998304927151582,0.998304927147366,0.998304935344683,0.9983049325668342,0.998304912431743,0.9983049120345752,0.9983049130514225,0.9983049471477243,0.9983049228664186,0.9983049403350995,0.9983049454648038,0.9983049454218844,0.9983049486150642,0.9983049173959394,0.9983049361710157
Ts=19.00,0.0016951248220892152,0.0016951253045082142,0.0016951247955902878,0.0016951249420307742,0.0016951248993619342,0.0016951252434546703,0.001695124888269328,0.9983048844626099,0.9983048919889657,0.9983048873358644,0.9983048839404273,0.9983048837666072,0.9983048837003738,0.9983048838087116,0.9983048847014029,0.9983048855346938,0.9983048844612288,0.9983048848730824,0.9983048835779826,0.9983048835178739,0.9983048843378249,0.9983048854512014,0.9983048843788914,0.9983048835814201,0.9983048836790298,0.9983048852897745,0.9983048839109747,0.9983048854292336,0.9983048855811321,0.9983048841408089,0.9983048862120493,0.9983048911427885,0.9983048837331956,0.9983048915377221,0.9983048849600823,0.9983048926904052,0.9983048841484103,0.9983048837050349,0.9983048866043012,0.9983048914095273,0.9983048866810575
