lambda_q,decay,strategy,final_A_user_share,final_A_merchant_share,final_B_user_share,final_B_merchant_share,final_B_average_share,final_quality_B,max_shortage,avg_shortage,profit,state
0.1,0.01,长期策略,0.34743022017211306,0.0020563627538456968,0.6525697798278869,0.9979436372461543,0.8252567085370206,2.280600648903364,9.9999980000002,2.464279148386207,55.655797814794475,市场倾斜
0.1,0.01,动态策略,0.3898608061542505,0.00781659230255302,0.6101391938457494,0.992183407697447,0.8011613007715982,1.5204004326022387,9.9999980000002,1.880469843377253,58.22382747424571,市场倾斜
0.1,0.01,纯质量投资,0.32458268177864225,0.000857631715803271,0.6754173182213578,0.9991423682841968,0.8372798432527773,3.0,9.9999980000002,3.311570703239543,50.7775361734944,市场倾斜
0.1,0.02,贪心策略,0.5974256540042758,0.3003059389233424,0.40257434599572417,0.6996940610766575,0.5511342035361908,0.399011471153194,9.9999980000002,1.4035028229635038,-17.57057374820272,市场倾斜
0.1,0.02,长期策略,0.40994904170752194,0.02187664458522236,0.590050958292478,0.9781233554147777,0.7840871568536278,1.1970344134595778,9.9999980000002,1.8608797194502895,49.24075337758677,市场倾斜
0.1,0.02,动态策略,0.4422814670762376,0.039107818754038265,0.5577185329237624,0.9608921812459618,0.759305357084862,0.798022942306388,9.9999980000002,1.4679493948861824,52.82380672215688,市场倾斜
0.1,0.02,纯质量投资,0.32458268177864225,0.000857631715803271,0.6754173182213578,0.9991423682841968,0.8372798432527773,3.0,9.9999980000002,3.2626808808572494,47.956336312536166,市场倾斜
0.1,0.04,贪心策略,0.7847812427880665,0.614355640665864,0.2152187572119335,0.385644359334136,0.30043155827303475,0.19999878583497113,9.9999980000002,1.1519441354326205,-30.040875567436377,市场倾斜
0.1,0.04,长期策略,0.4780528930140813,0.08941418202035464,0.5219471069859187,0.9105858179796453,0.716266462482782,0.5999963575049141,9.9999980000002,1.4021245012872043,37.308113091694786,市场倾斜
0.1,0.04,动态策略,0.49810431911280156,0.10312893729772851,0.5018956808871984,0.8968710627022715,0.6993833717947349,0.39999757166994226,9.9999980000002,1.1507146321340367,43.894300778533925,市场倾斜
0.1,0.04,纯质量投资,0.3749356276310086,0.007445031008723915,0.6250643723689915,0.992554968991276,0.8088096706801338,1.999987858349711,9.9999980000002,2.430439525808418,37.87623766592765,市场倾斜
