theta,strategy,subsidy_user,subsidy_merchant,final_A_user_share,final_A_merchant_share,final_B_user_share,final_B_merchant_share,final_B_average_share,max_shortage,avg_shortage,profit,state
0.8,只补贴用户,0.8,0.0,0.9065047412749906,0.8372748833775474,0.09349525872500941,0.1627251166224526,0.128110187673731,9.9999980000002,1.5027823220790155,-35.1190310524235,平台失败
0.8,只补贴商户,0.0,0.8,0.5331044069799304,0.13478714086942,0.46689559302006955,0.86521285913058,0.6660542260753248,9.9999980000002,0.7902651579366634,54.881361817905706,市场倾斜
0.8,均衡补贴,0.4,0.4,0.6895746363153309,0.4360165799879189,0.3104253636846691,0.5639834200120811,0.4372043918483751,9.9999980000002,1.010701283744585,0.7940020240586084,市场倾斜
0.8,偏商户补贴,0.2,0.6000000000000001,0.5768861991193034,0.226652250149522,0.4231138008806966,0.7733477498504779,0.5982307753655873,9.9999980000002,0.9406645934224379,36.06642404220418,市场倾斜
0.9,只补贴用户,0.8,0.0,0.9082863448619732,0.8381718456399256,0.09171365513802676,0.16182815436007436,0.12677090474905056,9.9999980000002,1.3466878072022674,-35.20871714634119,平台失败
0.9,只补贴商户,0.0,0.8,0.5377959711957555,0.13678306523727035,0.4622040288042445,0.8632169347627296,0.662710481783487,9.9999980000002,0.7075666596181069,53.752933121827276,市场倾斜
0.9,均衡补贴,0.4,0.4,0.6968284497093495,0.4436049953825605,0.30317155029065046,0.5563950046174395,0.429783277454045,9.9999980000002,0.9010975747885025,-0.5812552750814473,市场倾斜
0.9,偏商户补贴,0.2,0.6000000000000001,0.5831348558445668,0.2309362405483345,0.4168651441554332,0.7690637594516655,0.5929644518035493,9.9999980000002,0.840265277668773,34.58793897855673,市场倾斜
1.0,只补贴用户,0.8,0.0,0.9097119433100834,0.8388862479121764,0.09028805668991657,0.16111375208782364,0.1257009043888701,9.9999980000002,1.2203128956951348,-35.27985838264699,平台失败
1.0,只补贴商户,0.0,0.8,0.5415905546187595,0.13841798869472183,0.4584094453812405,0.8615820113052781,0.6599957283432594,9.9999980000002,0.6406447359074249,52.841208811347016,市场倾斜
1.0,均衡补贴,0.4,0.4,0.7025330278161732,0.4495975919763463,0.2974669721838268,0.5504024080236537,0.42393469010374024,9.9999980000002,0.813231351324555,-1.6500960378043423,市场倾斜
1.0,偏商户补贴,0.2,0.6000000000000001,0.5881628203968008,0.23443320303785858,0.4118371796031992,0.7655667969621414,0.5887019882826703,9.9999980000002,0.7593470121334641,33.402255253735035,市场倾斜
