setting,network_strength,delta_q,u_inf,m_inf,L_A,success
强网络效应 alpha=beta=3.0,3.0,1.7000000000000002,0.9999444996886964,0.9999444996886964,0.9999444996886964,1
强网络效应 alpha=beta=3.0,3.0,1.75,0.9999497544303931,0.9999497544303931,0.9999497544303931,1
强网络效应 alpha=beta=3.0,3.0,1.8,0.9999545601613736,0.9999545601613736,0.9999545601613736,1
强网络效应 alpha=beta=3.0,3.0,1.85,0.999958889249452,0.999958889249452,0.999958889249452,1
强网络效应 alpha=beta=3.0,3.0,1.9000000000000001,0.9999628042082066,0.9999628042082066,0.9999628042082066,1
强网络效应 alpha=beta=3.0,3.0,1.9500000000000002,0.9999663094424674,0.9999663094424674,0.9999663094424674,1
强网络效应 alpha=beta=3.0,3.0,2.0,0.9999695137074005,0.9999695137074005,0.9999695137074005,1
强网络效应 alpha=beta=3.0,3.0,2.0500000000000003,0.9999724259933664,0.9999724259933664,0.9999724259933664,1
强网络效应 alpha=beta=3.0,3.0,2.1,0.999975067073599,0.999975067073599,0.999975067073599,1
强网络效应 alpha=beta=3.0,3.0,2.15,0.999977440133984,0.999977440133984,0.999977440133984,1
强网络效应 alpha=beta=3.0,3.0,2.2,0.9999795868241632,0.9999795868241632,0.9999795868241632,1
强网络效应 alpha=beta=3.0,3.0,2.25,0.9999815289918123,0.9999815289918123,0.9999815289918123,1
强网络效应 alpha=beta=3.0,3.0,2.3000000000000003,0.9999832857164485,0.9999832857164485,0.9999832857164485,1
强网络效应 alpha=beta=3.0,3.0,2.35,0.9999848740619682,0.9999848740619682,0.9999848740619682,1
强网络效应 alpha=beta=3.0,3.0,2.4000000000000004,0.99998629179981,0.99998629179981,0.99998629179981,1
强网络效应 alpha=beta=3.0,3.0,2.45,0.9999875969367075,0.9999875969367075,0.9999875969367075,1
强网络效应 alpha=beta=3.0,3.0,2.5,0.9999887748413137,0.9999887748413137,0.9999887748413137,1
强网络效应 alpha=beta=3.0,3.0,2.5500000000000003,0.9999898384437068,0.9999898384437068,0.9999898384437068,1
强网络效应 alpha=beta=3.0,3.0,2.6,0.9999907883720043,0.9999907883720043,0.9999907883720043,1
强网络效应 alpha=beta=3.0,3.0,2.6500000000000004,0.9999916626712015,0.9999916626712015,0.9999916626712015,1
强网络效应 alpha=beta=3.0,3.0,2.7,0.9999924625858053,0.9999924625858053,0.9999924625858053,1
强网络效应 alpha=beta=3.0,3.0,2.75,0.9999931799151386,0.9999931799151386,0.9999931799151386,1
强网络效应 alpha=beta=3.0,3.0,2.8000000000000003,0.9999938337123067,0.9999938337123067,0.9999938337123067,1
强网络效应 alpha=beta=3.0,3.0,2.85,0.9999944269122,0.9999944269122,0.9999944269122,1
强网络效应 alpha=beta=3.0,3.0,2.9000000000000004,0.9999949398351679,0.9999949398351679,0.9999949398351679,1
强网络效应 alpha=beta=3.0,3.0,2.95,0.9999954063391314,0.9999954063391314,0.9999954063391314,1
强网络效应 alpha=beta=3.0,3.0,3.0,0.9999958291849907,0.9999958291849907,0.9999958291849907,1
强网络效应 alpha=beta=3.0,3.0,3.0500000000000003,0.9999962304812059,0.9999962304812059,0.9999962304812059,1
强网络效应 alpha=beta=3.0,3.0,3.1,0.9999965751972637,0.9999965751972637,0.9999965751972637,1
强网络效应 alpha=beta=3.0,3.0,3.1500000000000004,0.9999969088169243,0.9999969088169243,0.9999969088169243,1
强网络效应 alpha=beta=3.0,3.0,3.2,0.9999972062904273,0.9999972062904273,0.9999972062904273,1
强网络效应 alpha=beta=3.0,3.0,3.25,0.9999974692157435,0.9999974692157435,0.9999974692157435,1
强网络效应 alpha=beta=3.0,3.0,3.3000000000000003,0.9999976651496291,0.9999976651496291,0.9999976651496291,1
强网络效应 alpha=beta=3.0,3.0,3.35,0.9999979696971837,0.9999979696971837,0.9999979696971837,1
强网络效应 alpha=beta=3.0,3.0,3.4000000000000004,0.9999981407946096,0.9999981407946096,0.9999981407946096,1
强网络效应 alpha=beta=3.0,3.0,3.45,0.9999983409557759,0.9999983409557759,0.9999983409557759,1
强网络效应 alpha=beta=3.0,3.0,3.5,0.9999985047949501,0.9999985047949501,0.9999985047949501,1
强网络效应 alpha=beta=3.0,3.0,3.5500000000000003,0.9999986488860657,0.9999986488860657,0.9999986488860657,1
强网络效应 alpha=beta=3.0,3.0,3.6,0.9999987672485984,0.9999987672485984,0.9999987672485984,1
强网络效应 alpha=beta=3.0,3.0,3.6500000000000004,0.9999988984338724,0.9999988984338724,0.9999988984338724,1
强网络效应 alpha=beta=3.0,3.0,3.7,0.9999990101954965,0.9999990101954965,0.9999990101954965,1
强网络效应 alpha=beta=3.0,3.0,3.75,0.9999987774252723,0.9999987774252723,0.9999987774252723,1
强网络效应 alpha=beta=3.0,3.0,3.8000000000000003,0.9999988977108428,0.9999988977108428,0.9999988977108428,1
强网络效应 alpha=beta=3.0,3.0,3.85,0.9999991699837877,0.9999991699837877,0.9999991699837877,1
强网络效应 alpha=beta=3.0,3.0,3.9000000000000004,0.9999988193735085,0.9999988193735085,0.9999988193735085,1
强网络效应 alpha=beta=3.0,3.0,3.95,0.9999991729195989,0.9999991729195989,0.9999991729195989,1
强网络效应 alpha=beta=3.0,3.0,4.0,0.9999991863346014,0.9999991863346014,0.9999991863346014,1
强网络效应 alpha=beta=3.0,3.0,4.05,0.9999991849614831,0.9999991849614831,0.9999991849614831,1
强网络效应 alpha=beta=3.0,3.0,4.1000000000000005,0.9999991028806552,0.9999991028806552,0.9999991028806552,1
强网络效应 alpha=beta=3.0,3.0,4.15,0.9999994075774198,0.9999994075774198,0.9999994075774198,1
强网络效应 alpha=beta=3.0,3.0,4.2,0.9999991184346837,0.9999991184346837,0.9999991184346837,1
强网络效应 alpha=beta=3.0,3.0,4.25,0.9999994545180445,0.9999994545180445,0.9999994545180445,1
强网络效应 alpha=beta=3.0,3.0,4.3,0.9999993045907942,0.9999993045907942,0.9999993045907942,1
