budget,rho,user_subsidy_initial,merchant_subsidy_initial,final_x,final_y,combined_share,concentration,cum_profit,directional_state
0.3,0.9400000000000001,0.28200000000000003,0.01799999999999998,0.0070922413383229035,0.013368728879921882,0.010230485109122393,0.9795390297817552,3.2796709943464997,平台B锁定
0.3,0.96,0.288,0.01200000000000001,0.0070934022304387605,0.013366360170951929,0.010229881200695345,0.9795402375986093,3.277877845372501,平台B锁定
0.3,0.98,0.294,0.006000000000000005,0.007094563345374617,0.013363991912786045,0.010229277629080331,0.9795414447418394,3.2762260265555434,平台B锁定
0.3,1.0,0.3,0.0,0.00709572468317179,0.013361624105336607,0.010228674394254199,0.9795426512114916,3.274714754066596,平台B锁定
0.35,0.0,0.0,0.35,0.007039262463644658,0.013501612378597495,0.010270437421121076,0.9794591251577578,3.8043808315920473,平台B锁定
0.35,0.02,0.006999999999999999,0.34299999999999997,0.007040604652337583,0.013498819662441633,0.010269712157389609,0.9794605756852208,3.788256561120918,平台B锁定
0.35,0.04,0.013999999999999999,0.33599999999999997,0.007041947141708333,0.01349602756651116,0.010268987354109747,0.9794620252917805,3.772623432663167,平台B锁定
0.35,0.06,0.020999999999999998,0.32899999999999996,0.007043289931821902,0.013493236090665318,0.01026826301124361,0.9794634739775128,3.757464561995803,平台B锁定
0.35,0.08,0.027999999999999997,0.322,0.007044633022743294,0.013490445234763393,0.010267539128753344,0.9794649217424933,3.7427643059050926,平台B锁定
0.35,0.1,0.034999999999999996,0.315,0.007045976414537528,0.013487654998664696,0.010266815706601113,0.9794663685867977,3.72850814551702,平台B锁定
0.35,0.12,0.041999999999999996,0.308,0.007047320107269639,0.013484865382228584,0.01026609274474911,0.9794678145105018,3.7146825828482375,平台B锁定
0.35,0.14,0.049,0.301,0.007048664101004674,0.013482076385314434,0.010265370243159554,0.9794692595136809,3.701275048832272,平台B锁定
0.35,0.16,0.055999999999999994,0.294,0.007050008395807709,0.013479288007781665,0.010264648201794686,0.9794707035964106,3.6882738213388073,平台B锁定
0.35,0.18,0.063,0.287,0.007051352991743816,0.013476500249489723,0.01026392662061677,0.9794721467587665,3.675667951922218,平台B锁定
0.35,0.2,0.06999999999999999,0.27999999999999997,0.007052697888878095,0.013473713110298104,0.0102632054995881,0.9794735890008238,3.663447200218462,平台B锁定
0.35,0.22,0.077,0.27299999999999996,0.007054043087275665,0.013470926590066325,0.010262484838670996,0.979475030322658,3.651601975062135,平台B锁定
0.35,0.24,0.08399999999999999,0.26599999999999996,0.007055388587001647,0.013468140688653943,0.010261764637827795,0.9794764707243444,3.640123281524695,平台B锁定
0.35,0.26,0.091,0.259,0.007056734388121182,0.013465355405920533,0.010261044897020857,0.9794779102059583,3.6290026731831726,平台B锁定
0.35,0.28,0.098,0.252,0.007058080490699441,0.013462570741725736,0.010260325616212589,0.9794793487675748,3.6182322090212238,平台B锁定
0.35,0.3,0.105,0.24499999999999997,0.0070594268948015884,0.013459786695929192,0.01025960679536539,0.9794807864092692,3.6078044144427994,平台B锁定
0.35,0.32,0.11199999999999999,0.23799999999999996,0.0070607736004928215,0.013457003268390605,0.010258888434441713,0.9794822231311165,3.5977122459451656,平台B锁定
0.35,0.34,0.119,0.23099999999999996,0.0070621206078383385,0.013454220458969697,0.010258170533404018,0.9794836589331919,3.587949059055969,平台B锁定
