step,u_A,m_A,L_A,seed,C,market_size,n_users,n_merchants
38,0.99,1.0,0.995,202696,0.9900500000000001,150,100,50
39,1.0,0.98,0.99,202696,0.9802,150,100,50
40,1.0,1.0,1.0,202696,1.0,150,100,50
41,0.99,1.0,0.995,202696,0.9900500000000001,150,100,50
42,1.0,1.0,1.0,202696,1.0,150,100,50
43,0.99,1.0,0.995,202696,0.9900500000000001,150,100,50
44,1.0,1.0,1.0,202696,1.0,150,100,50
45,1.0,1.0,1.0,202696,1.0,150,100,50
46,1.0,0.98,0.99,202696,0.9802,150,100,50
47,1.0,1.0,1.0,202696,1.0,150,100,50
48,0.99,1.0,0.995,202696,0.9900500000000001,150,100,50
49,0.99,0.96,0.975,202696,0.9512499999999999,150,100,50
50,1.0,1.0,1.0,202696,1.0,150,100,50
51,1.0,1.0,1.0,202696,1.0,150,100,50
52,0.98,1.0,0.99,202696,0.9802,150,100,50
53,1.0,1.0,1.0,202696,1.0,150,100,50
54,1.0,1.0,1.0,202696,1.0,150,100,50
55,1.0,1.0,1.0,202696,1.0,150,100,50
56,1.0,1.0,1.0,202696,1.0,150,100,50
57,1.0,1.0,1.0,202696,1.0,150,100,50
58,0.99,1.0,0.995,202696,0.9900500000000001,150,100,50
59,1.0,1.0,1.0,202696,1.0,150,100,50
60,1.0,1.0,1.0,202696,1.0,150,100,50
0,0.5,0.5,0.5,202697,0.5,150,100,50
1,0.26,0.34,0.30000000000000004,202697,0.58,150,100,50
2,0.04,0.02,0.03,202697,0.9418,150,100,50
3,0.0,0.02,0.01,202697,0.9802,150,100,50
4,0.0,0.0,0.0,202697,1.0,150,100,50
5,0.0,0.0,0.0,202697,1.0,150,100,50
6,0.0,0.0,0.0,202697,1.0,150,100,50
7,0.0,0.0,0.0,202697,1.0,150,100,50
8,0.0,0.0,0.0,202697,1.0,150,100,50
9,0.0,0.0,0.0,202697,1.0,150,100,50
10,0.01,0.0,0.005,202697,0.9900500000000001,150,100,50
11,0.0,0.0,0.0,202697,1.0,150,100,50
