u_A,merchant_A_presence,merchant_B_presence,merchant_A_only,merchant_B_only,merchant_multi,L_A,concentration,total_subsidy_spend,step,seed,experiment,version,removed_mechanism,u0,m0,subsidy_policy,allow_multi_home,multi_home_share
0.8766666666666667,0.6373333333333334,0.27066666666666667,0.4533333333333333,0.08666666666666667,0.46,0.7570000000000001,0.632098,840.0,6,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.8966666666666666,0.7266666666666667,0.2,0.58,0.05333333333333334,0.36666666666666664,0.8116666666666666,0.6942722222222222,980.0,7,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9233333333333333,0.7626666666666667,0.16933333333333334,0.6266666666666667,0.03333333333333333,0.34,0.843,0.735298,1120.0,8,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9466666666666667,0.736,0.18933333333333335,0.5866666666666667,0.04,0.37333333333333335,0.8413333333333333,0.7330168888888888,1260.0,9,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9366666666666666,0.7160000000000001,0.2026666666666667,0.5533333333333333,0.04,0.4066666666666667,0.8263333333333334,0.7129868888888888,1400.0,10,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9533333333333334,0.756,0.18266666666666667,0.6333333333333333,0.06,0.30666666666666664,0.8546666666666667,0.751576888888889,1540.0,11,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9533333333333334,0.7160000000000001,0.22266666666666665,0.5933333333333334,0.1,0.30666666666666664,0.8346666666666667,0.7240035555555555,1680.0,12,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.91,0.7373333333333333,0.19733333333333333,0.6066666666666667,0.06666666666666667,0.32666666666666666,0.8236666666666667,0.7095202222222221,1820.0,13,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9466666666666667,0.7026666666666667,0.22933333333333333,0.5666666666666667,0.09333333333333334,0.34,0.8246666666666667,0.7108168888888888,1960.0,14,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9266666666666666,0.7253333333333333,0.19866666666666666,0.5733333333333334,0.04666666666666667,0.38,0.826,0.7125519999999999,2100.0,15,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9266666666666666,0.7386666666666667,0.17866666666666667,0.5733333333333334,0.013333333333333334,0.41333333333333333,0.8326666666666667,0.7213342222222223,2240.0,16,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9366666666666666,0.752,0.17866666666666667,0.6133333333333333,0.04,0.3466666666666667,0.8443333333333334,0.737130888888889,2380.0,17,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.93,0.704,0.21733333333333335,0.5466666666666666,0.06,0.3933333333333333,0.817,0.7009779999999999,2520.0,18,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9233333333333333,0.732,0.18533333333333335,0.5666666666666667,0.02,0.41333333333333333,0.8276666666666667,0.7147308888888888,2660.0,19,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.94,0.76,0.17333333333333334,0.6266666666666667,0.04,0.3333333333333333,0.85,0.7449999999999999,2800.0,20,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9433333333333334,0.7266666666666667,0.20666666666666667,0.5933333333333334,0.07333333333333333,0.3333333333333333,0.835,0.72445,2940.0,21,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9133333333333333,0.7893333333333333,0.14933333333333335,0.6666666666666666,0.02666666666666667,0.30666666666666664,0.8513333333333333,0.7468702222222221,3080.0,22,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.96,0.712,0.212,0.56,0.06,0.38,0.836,0.725792,3220.0,23,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.93,0.736,0.18933333333333335,0.5866666666666667,0.04,0.37333333333333335,0.833,0.721778,3360.0,24,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9266666666666666,0.7693333333333334,0.16266666666666668,0.6333333333333333,0.02666666666666667,0.34,0.8480000000000001,0.7422080000000002,3500.0,25,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.97,0.724,0.19733333333333333,0.5666666666666667,0.04,0.3933333333333333,0.847,0.740818,3640.0,26,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
