budget,subsidy_policy,policy_label,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share
20,two_sided_targeted,双边精准,5221,0.23125,0.5375,tilted,0.0,,1400.0,-0.0004062500000000001,0.0
20,two_sided_targeted,双边精准,5222,0.3575,0.28500000000000003,tilted,0.0,,1400.0,-0.00031607142857142863,0.0
20,two_sided_targeted,双边精准,5223,0.31875,0.36250000000000004,tilted,0.0,,1400.0,-0.00034375000000000003,0.0
20,two_sided_targeted,双边精准,5224,0.29874999999999996,0.4025,tilted,0.0,,1400.0,-0.0003580357142857143,0.0
20,two_sided_targeted,双边精准,5225,0.32125000000000004,0.3575,tilted,0.0,,1400.0,-0.0003419642857142857,0.0
20,two_sided_targeted,双边精准,5226,0.28500000000000003,0.43,tilted,0.0,,1400.0,-0.00036785714285714286,0.0
20,two_sided_targeted,双边精准,5227,0.4,0.2,tilted,0.0,,1400.0,-0.00028571428571428574,0.0
20,two_sided_targeted,双边精准,5228,0.27125,0.45749999999999996,tilted,0.0,,1400.0,-0.00037767857142857145,0.0
20,two_sided_targeted,双边精准,5229,0.32499999999999996,0.35000000000000003,tilted,0.0,,1400.0,-0.00033928571428571433,0.0
20,uniform,统一补贴,5200,0.51375,0.07250000000000006,coexist,0.0,,1400.0,-0.0002044642857142857,0.0
20,uniform,统一补贴,5201,0.245,0.51,tilted,0.0,,1400.0,-0.00039642857142857145,0.0
20,uniform,统一补贴,5202,0.23500000000000001,0.53,tilted,0.0,,1400.0,-0.0004035714285714286,0.0
20,uniform,统一补贴,5203,0.25875,0.4825,tilted,0.0,,1400.0,-0.00038660714285714286,0.0
20,uniform,统一补贴,5204,0.46375,0.07250000000000001,coexist,0.0,,1400.0,-0.00024017857142857147,0.0
20,uniform,统一补贴,5205,0.355,0.29000000000000004,tilted,0.0,,1400.0,-0.0003178571428571429,0.0
20,uniform,统一补贴,5206,0.42874999999999996,0.14250000000000002,coexist,0.0,,1400.0,-0.0002651785714285715,0.0
20,uniform,统一补贴,5207,0.21500000000000002,0.5700000000000001,tilted,0.0,,1400.0,-0.00041785714285714283,0.0
20,uniform,统一补贴,5208,0.28,0.44,tilted,0.0,,1400.0,-0.00037142857142857143,0.0
20,uniform,统一补贴,5209,0.3275,0.345,tilted,0.0,,1400.0,-0.0003375,0.0
20,uniform,统一补贴,5210,0.3225,0.355,tilted,0.0,,1400.0,-0.0003410714285714286,0.0
20,uniform,统一补贴,5211,0.3,0.4,tilted,0.0,,1400.0,-0.00035714285714285714,0.0
20,uniform,统一补贴,5212,0.27249999999999996,0.455,tilted,0.0,,1400.0,-0.0003767857142857143,0.0
20,uniform,统一补贴,5213,0.24875,0.5025,tilted,0.0,,1400.0,-0.00039375,0.0
20,uniform,统一补贴,5214,0.36124999999999996,0.2775,tilted,0.0,,1400.0,-0.0003133928571428572,0.0
