multi_home_cost,rho,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share
1.6,0.5,5429,0.45625,0.16249999999999998,coexist,0.0,,0.0,0.0,0.05
2.0,0.5,5400,0.48,0.09000000000000002,coexist,0.0,,0.0,0.0,0.05
2.0,0.5,5401,0.485,0.030000000000000027,coexist,0.0,,0.0,0.0,0.0
2.0,0.5,5402,0.37375,0.2525,tilted,0.0,,0.0,0.0,0.05
2.0,0.5,5403,0.43875,0.1225,coexist,0.0,,0.0,0.0,0.0
2.0,0.5,5404,0.28500000000000003,0.43,tilted,0.0,,0.0,0.0,0.0
2.0,0.5,5405,0.42500000000000004,0.14999999999999997,coexist,0.0,,0.0,0.0,0.0
2.0,0.5,5406,0.5449999999999999,0.08999999999999997,coexist,0.0,,0.0,0.0,0.0
2.0,0.5,5407,0.51625,0.1325,coexist,0.0,,0.0,0.0,0.0
2.0,0.5,5408,0.4625,0.07500000000000001,coexist,0.0,,0.0,0.0,0.05
2.0,0.5,5409,0.39125,0.21749999999999997,tilted,0.0,,0.0,0.0,0.0
2.0,0.5,5410,0.3225,0.355,tilted,0.0,,0.0,0.0,0.0
2.0,0.5,5411,0.51,0.020000000000000018,coexist,0.0,,0.0,0.0,0.0
2.0,0.5,5412,0.45999999999999996,0.08000000000000002,coexist,0.0,,0.0,0.0,0.05
2.0,0.5,5413,0.54125,0.0824999999999999,coexist,0.0,,0.0,0.0,0.05
2.0,0.5,5414,0.41000000000000003,0.22000000000000003,tilted,0.0,,0.0,0.0,0.0
2.0,0.5,5415,0.275,0.44999999999999996,tilted,0.0,,0.0,0.0,0.0
2.0,0.5,5416,0.6499999999999999,0.29999999999999993,tilted,0.0,,0.0,0.0,0.0
2.0,0.5,5417,0.29625,0.4075,tilted,0.0,,0.0,0.0,0.0
2.0,0.5,5418,0.495,0.06,coexist,0.0,,0.0,0.0,0.05
2.0,0.5,5419,0.29,0.42000000000000004,tilted,0.0,,0.0,0.0,0.05
2.0,0.5,5420,0.7150000000000001,0.43000000000000005,tilted,0.0,,0.0,0.0,0.0
2.0,0.5,5421,0.445,0.10999999999999999,coexist,0.0,,0.0,0.0,0.0
2.0,0.5,5422,0.605,0.20999999999999996,tilted,0.0,,0.0,0.0,0.0
2.0,0.5,5423,0.42125,0.15749999999999997,coexist,0.0,,0.0,0.0,0.1
2.0,0.5,5424,0.4275,0.25500000000000006,tilted,0.0,,0.0,0.0,0.0
2.0,0.5,5425,0.45999999999999996,0.08000000000000002,coexist,0.0,,0.0,0.0,0.0
2.0,0.5,5426,0.68375,0.36749999999999994,tilted,0.0,,0.0,0.0,0.05
2.0,0.5,5427,0.29625,0.4075,tilted,0.0,,0.0,0.0,0.0
2.0,0.5,5428,0.46875,0.13749999999999996,coexist,0.0,,0.0,0.0,0.0
2.0,0.5,5429,0.4375,0.17500000000000004,coexist,0.0,,0.0,0.0,0.0
