u_A,merchant_A_presence,merchant_B_presence,merchant_A_only,merchant_B_only,merchant_multi,L_A,concentration,total_subsidy_spend,shortage_A,shortage_B,q_B,step,seed,period_profit_B,discounted_profit_B,period_user_subsidy_spend,period_merchant_subsidy_spend,period_quality_investment,experiment,version,removed_mechanism,strategy,strategy_label,u0,m0,budget,subsidy_policy,final_L_B,b_break_60,lock_state,b_lock,total_user_subsidy,total_merchant_subsidy,total_quality_investment,max_shortage_B,avg_shortage_B,total_spend
0.1475,0.15,0.85,0.15,0.85,0.0,0.14875,0.7025,167.68000000000052,0.0,0.0,1.19999999999999,300,7911,6.44625,245.92501630174874,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o supply penalty,去掉供给不足惩罚,targeted_long_term,w/o supply penalty,0.8,0.8,0.8,two_sided_targeted,0.8512500000000001,1.0,tilted,0.0,72.0,95.68000000000002,72.0,0.0,0.0,239.68
0.155,0.1,0.9,0.1,0.9,0.0,0.1275,0.745,166.72000000000048,0.0,0.0,1.19999999999999,300,7914,6.805,263.50377719475534,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o supply penalty,去掉供给不足惩罚,targeted_long_term,w/o supply penalty,0.8,0.8,0.8,two_sided_targeted,0.8725,1.0,tilted,0.0,72.0,94.72000000000001,72.0,0.0,0.0,238.72000000000003
0.145,0.05,0.95,0.05,0.95,0.0,0.0975,0.8049999999999999,164.8000000000005,0.0,0.0,1.19999999999999,300,7913,7.322500000000001,282.01841586848514,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o supply penalty,去掉供给不足惩罚,targeted_long_term,w/o supply penalty,0.8,0.8,0.8,two_sided_targeted,0.9025,1.0,B_lock,1.0,72.0,92.80000000000001,72.0,0.0,0.0,236.8
0.0,0.2,0.8,0.2,0.8,0.0,0.1,0.8,168.15999999999934,16.666665955555576,0.0,0.8000000027821492,300,7905,7.2,133.31392321393824,0.48,0.16000000000000003,0.16000000000000003,optimal_strategy_ablation,replace by dynamic,长期固定配比改为动态配比,targeted_dynamic,replace by dynamic,0.8,0.8,0.8,two_sided_targeted,0.9,1.0,B_lock,1.0,71.84,96.32000000000001,48.00000000000001,56.66666222222253,9.395745408310333,216.16000000000003
0.0,0.25,0.75,0.25,0.75,0.0,0.125,0.75,168.31999999999934,20.76922982248524,0.0,0.8000000567311907,300,7904,6.7,130.19017569798964,0.48,0.16000000000000003,0.16000000000000003,optimal_strategy_ablation,replace by dynamic,长期固定配比改为动态配比,targeted_dynamic,replace by dynamic,0.8,0.8,0.8,two_sided_targeted,0.875,1.0,tilted,0.0,72.0,96.32000000000001,48.00000000000001,47.142853877551204,10.045929019538121,216.32
1.0,0.85,0.15,0.85,0.15,0.0,0.925,0.85,168.15999999999934,0.0,16.666665955555576,0.8000000000066919,300,7907,-0.64,126.35091968892175,0.0,0.48,0.16000000000000003,optimal_strategy_ablation,replace by dynamic,长期固定配比改为动态配比,targeted_dynamic,replace by dynamic,0.8,0.8,0.8,two_sided_targeted,0.07499999999999996,0.0,A_lock,0.0,71.84,96.32000000000001,48.00000000000001,34.444442469135886,9.654088294297145,216.16000000000003
1.0,0.75,0.25,0.75,0.25,0.0,0.875,0.75,168.15999999999934,0.0,13.529411211072677,0.80000000013644,300,7906,-0.64,134.60484788234504,0.0,0.48,0.16000000000000003,optimal_strategy_ablation,replace by dynamic,长期固定配比改为动态配比,targeted_dynamic,replace by dynamic,0.8,0.8,0.8,two_sided_targeted,0.125,0.0,tilted,0.0,71.84,96.32000000000001,48.00000000000001,34.444442469135886,9.628902893660305,216.16000000000003
1.0,0.65,0.35,0.65,0.35,0.0,0.825,0.65,168.31999999999934,0.0,14.999999375000016,0.800481001858263,300,7901,-0.64,136.8891259262481,0.0,0.48,0.16000000000000003,optimal_strategy_ablation,replace by dynamic,长期固定配比改为动态配比,targeted_dynamic,replace by dynamic,0.8,0.8,0.8,two_sided_targeted,0.17500000000000004,0.0,tilted,0.0,71.67999999999999,96.64,48.00000000000001,34.444442469135886,9.08835389587986,216.32
1.0,0.8,0.2,0.8,0.2,0.0,0.9,0.8,168.15999999999934,0.0,23.33333222222226,0.8098081788142577,300,7900,-0.64,133.30277000944892,0.0,0.48,0.16000000000000003,optimal_strategy_ablation,replace by dynamic,长期固定配比改为动态配比,targeted_dynamic,replace by dynamic,0.8,0.8,0.8,two_sided_targeted,0.09999999999999998,0.0,A_lock,0.0,71.84,96.32000000000001,48.00000000000001,39.99999750000012,10.539177806044714,216.16000000000003
1.0,0.85,0.15,0.85,0.15,0.0,0.925,0.85,168.15999999999934,0.0,18.571427755102068,0.800001156813939,300,7903,-0.64,135.50721623268046,0.0,0.48,0.16000000000000003,optimal_strategy_ablation,replace by dynamic,长期固定配比改为动态配比,targeted_dynamic,replace by dynamic,0.8,0.8,0.8,two_sided_targeted,0.07499999999999996,0.0,A_lock,0.0,71.84,96.32000000000001,48.00000000000001,32.499991500001705,9.000153243111031,216.16000000000003
