step,u_A,m_A,L_A,seed,C,scenario,scenario_label
9,1.0,1.0,1.0,202602,1.0,strong_A_adv,强网络效应，A初始略占优
10,0.995,0.9966666666666667,0.9958333333333333,202602,0.9917013888888888,strong_A_adv,强网络效应，A初始略占优
11,0.9966666666666667,1.0,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
12,0.9983333333333333,1.0,0.9991666666666666,202602,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
13,0.9966666666666667,1.0,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
14,1.0,1.0,1.0,202602,1.0,strong_A_adv,强网络效应，A初始略占优
15,0.9983333333333333,0.9966666666666667,0.9975,202602,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
16,1.0,0.9966666666666667,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
17,0.9966666666666667,1.0,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
18,0.9983333333333333,1.0,0.9991666666666666,202602,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
19,0.99,0.9933333333333333,0.9916666666666667,202602,0.9834722222222223,strong_A_adv,强网络效应，A初始略占优
20,0.995,0.9966666666666667,0.9958333333333333,202602,0.9917013888888888,strong_A_adv,强网络效应，A初始略占优
21,0.9983333333333333,0.9966666666666667,0.9975,202602,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
22,0.9966666666666667,0.9966666666666667,0.9966666666666667,202602,0.9933555555555555,strong_A_adv,强网络效应，A初始略占优
23,1.0,0.9966666666666667,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
24,0.9966666666666667,0.9966666666666667,0.9966666666666667,202602,0.9933555555555555,strong_A_adv,强网络效应，A初始略占优
25,0.9983333333333333,1.0,0.9991666666666666,202602,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
26,0.9983333333333333,0.9933333333333333,0.9958333333333333,202602,0.9917013888888888,strong_A_adv,强网络效应，A初始略占优
27,0.9983333333333333,0.9966666666666667,0.9975,202602,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
28,0.9983333333333333,0.9966666666666667,0.9975,202602,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
29,0.9966666666666667,1.0,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
30,0.995,1.0,0.9975,202602,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
31,0.9966666666666667,1.0,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
32,0.9966666666666667,1.0,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
33,0.9983333333333333,0.9966666666666667,0.9975,202602,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
34,1.0,1.0,1.0,202602,1.0,strong_A_adv,强网络效应，A初始略占优
35,1.0,0.9966666666666667,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
36,0.9983333333333333,1.0,0.9991666666666666,202602,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
37,0.9983333333333333,0.9933333333333333,0.9958333333333333,202602,0.9917013888888888,strong_A_adv,强网络效应，A初始略占优
38,0.9966666666666667,1.0,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
39,0.995,0.9966666666666667,0.9958333333333333,202602,0.9917013888888888,strong_A_adv,强网络效应，A初始略占优
40,1.0,0.9966666666666667,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
41,0.9966666666666667,1.0,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
42,1.0,0.9966666666666667,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
43,0.995,0.9966666666666667,0.9958333333333333,202602,0.9917013888888888,strong_A_adv,强网络效应，A初始略占优
44,0.9966666666666667,1.0,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
45,1.0,1.0,1.0,202602,1.0,strong_A_adv,强网络效应，A初始略占优
46,1.0,0.9966666666666667,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
