u_A,merchant_A_presence,merchant_B_presence,merchant_A_only,merchant_B_only,merchant_multi,L_A,concentration,total_subsidy_spend,shortage_A,shortage_B,q_B,step,period_user_subsidy_spend,period_merchant_subsidy_spend,period_quality_investment,seed,experiment,scenario,u0,m0
0.495,0.45,0.55,0.45,0.55,0.0,0.47250000000000003,0.05499999999999999,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5125,0.45,0.55,0.45,0.55,0.0,0.48124999999999996,0.062499999999999944,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.495,0.5,0.5,0.5,0.5,0.0,0.4975,0.0050000000000000044,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.4525,0.35,0.65,0.35,0.65,0.0,0.40125,0.1975,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.47,0.35,0.65,0.35,0.65,0.0,0.41,0.18000000000000005,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.4825,0.5,0.5,0.5,0.5,0.0,0.49124999999999996,0.017500000000000016,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.4625,0.55,0.45,0.55,0.45,0.0,0.5062500000000001,0.08750000000000002,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.515,0.65,0.35,0.65,0.35,0.0,0.5825,0.16500000000000004,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5375,0.45,0.55,0.45,0.55,0.0,0.49375,0.08749999999999997,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.48,0.25,0.75,0.25,0.75,0.0,0.365,0.27,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.45,0.4,0.6,0.4,0.6,0.0,0.42500000000000004,0.14999999999999997,0.0,0.0,0.0,0.0,33,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.475,0.35,0.65,0.35,0.65,0.0,0.4125,0.17500000000000004,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.44,0.55,0.45,0.55,0.45,0.0,0.495,0.11000000000000004,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.49,0.45,0.55,0.45,0.55,0.0,0.47,0.06,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.4975,0.6,0.4,0.6,0.4,0.0,0.54875,0.10249999999999998,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.55,0.6,0.4,0.6,0.4,0.0,0.575,0.15000000000000002,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.55,0.4,0.6,0.4,0.6,0.0,0.47500000000000003,0.15000000000000002,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5,0.45,0.55,0.45,0.55,0.0,0.475,0.04999999999999999,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5175,0.45,0.55,0.45,0.55,0.0,0.48375,0.06749999999999995,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.45,0.55,0.45,0.55,0.45,0.0,0.5,0.10000000000000003,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.495,0.3,0.7,0.3,0.7,0.0,0.39749999999999996,0.20500000000000002,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.445,0.5,0.5,0.5,0.5,0.0,0.47250000000000003,0.05499999999999999,0.0,0.0,0.0,0.0,44,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.49,0.4,0.6,0.4,0.6,0.0,0.445,0.10999999999999999,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.4375,0.4,0.6,0.4,0.6,0.0,0.41875,0.16249999999999998,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.4625,0.55,0.45,0.55,0.45,0.0,0.5062500000000001,0.08750000000000002,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5,0.4,0.6,0.4,0.6,0.0,0.45,0.09999999999999998,0.0,0.0,0.0,0.0,48,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.44,0.6,0.4,0.6,0.4,0.0,0.52,0.15999999999999998,0.0,0.0,0.0,0.0,49,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.525,0.55,0.45,0.55,0.45,0.0,0.5375000000000001,0.07500000000000007,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.515,0.65,0.35,0.65,0.35,0.0,0.5825,0.16500000000000004,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.535,0.55,0.45,0.55,0.45,0.0,0.5425,0.08500000000000008,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5225,0.35,0.65,0.35,0.65,0.0,0.43624999999999997,0.1725,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.515,0.3,0.7,0.3,0.7,0.0,0.4075,0.21500000000000002,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.4725,0.45,0.55,0.45,0.55,0.0,0.46125,0.07750000000000001,0.0,0.0,0.0,0.0,55,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.4975,0.55,0.45,0.55,0.45,0.0,0.52375,0.05250000000000005,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.495,0.5,0.5,0.5,0.5,0.0,0.4975,0.0050000000000000044,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.47,0.55,0.45,0.55,0.45,0.0,0.51,0.08000000000000007,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.51,0.7,0.3,0.7,0.3,0.0,0.605,0.20999999999999996,0.0,0.0,0.0,0.0,59,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5325,0.5,0.5,0.5,0.5,0.0,0.51625,0.03249999999999997,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.4725,0.2,0.8,0.2,0.8,0.0,0.33625,0.3275,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.435,0.45,0.55,0.45,0.55,0.0,0.4425,0.11499999999999999,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.515,0.6,0.4,0.6,0.4,0.0,0.5575,0.11499999999999999,0.0,0.0,0.0,0.0,63,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.53,0.55,0.45,0.55,0.45,0.0,0.54,0.08000000000000007,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.51,0.25,0.75,0.25,0.75,0.0,0.38,0.26,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.435,0.65,0.35,0.65,0.35,0.0,0.5425,0.21500000000000002,0.0,0.0,0.0,0.0,66,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.535,0.55,0.45,0.55,0.45,0.0,0.5425,0.08500000000000008,0.0,0.0,0.0,0.0,67,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.4975,0.4,0.6,0.4,0.6,0.0,0.44875,0.10249999999999998,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
