delta_q,quality_strategy,quality_label,final_L_mean,final_L_std,concentration_mean,success_probability,mean_time_to_success,subsidy_spend_mean,roi_mean,final_multi_share,lock_A_probability,lock_B_probability,coexist_probability,tilted_probability,b_success_probability,b_lock_probability,final_L_B_mean,final_L_B_std
1.5,no_quality,无质量优势,0.47741666666666666,0.0885315050191308,0.14550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.0,0.5225833333333333,0.08853150501913079
1.5,quality_plus_subsidy,双边质量+少量精准补贴,0.020833333333333332,0.015809035240586165,0.9583333333333334,0.0,0.0,1400.0,-0.0005565476190476191,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9791666666666666,0.015809035240586168
1.5,two_sided_quality,双边质量优势,0.021500000000000002,0.016016174859898886,0.9570000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9785,0.0160161748598989
1.5,user_quality,用户侧质量优势,0.13275,0.04522315699474583,0.7345,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1.0,0.3333333333333333,0.86725,0.04522315699474583
1.75,merchant_quality,商户侧质量优势,0.08816666666666667,0.016689567599751248,0.8236666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.13333333333333333,1.0,0.8666666666666667,0.9118333333333334,0.01668956759975125
1.75,no_quality,无质量优势,0.47741666666666666,0.0885315050191308,0.14550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.0,0.5225833333333333,0.08853150501913079
1.75,quality_plus_subsidy,双边质量+少量精准补贴,0.016833333333333332,0.008912604771306972,0.9663333333333333,0.0,0.0,1400.0,-0.0005594047619047619,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9831666666666667,0.008912604771306983
1.75,two_sided_quality,双边质量优势,0.017249999999999998,0.009114842683385003,0.9655,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.98275,0.009114842683384982
1.75,user_quality,用户侧质量优势,0.1295,0.04538968180419107,0.741,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1.0,0.3333333333333333,0.8705,0.04538968180419108
2.0,merchant_quality,商户侧质量优势,0.08441666666666667,0.010730741331511513,0.8311666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.06666666666666667,1.0,0.9333333333333333,0.9155833333333334,0.010730741331511497
2.0,no_quality,无质量优势,0.47741666666666666,0.0885315050191308,0.14550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.0,0.5225833333333333,0.08853150501913079
2.0,quality_plus_subsidy,双边质量+少量精准补贴,0.01575,0.00915881698536599,0.9685,0.0,0.0,1400.0,-0.0005601785714285714,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.98425,0.00915881698536599
2.0,two_sided_quality,双边质量优势,0.01633333333333333,0.009359709753334592,0.9673333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9836666666666667,0.009359709753334573
2.0,user_quality,用户侧质量优势,0.12533333333333332,0.04465259417622526,0.7493333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,1.0,0.4,0.8746666666666667,0.044652594176225274
